UID        PID  PPID  C STIME TTY          TIME CMD
kangkai   2615  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfs-afc-volume-monitor
kangkai   2620  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfs-mtp-volume-monitor
kangkai   2624  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfs-gphoto2-volume-monitor
kangkai   2640  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfsd-trash --spawner :1.6 /org/gtk/gvfs/exec_spaw/0
kangkai   2666  2215  0 09:55 ?        00:00:00 /usr/lib/gvfs/gvfsd-burn --spawner :1.6 /org/gtk/gvfs/exec_spaw/1
kangkai   2671  2215  0 09:55 ?        00:00:01 fcitx-qimpanel
root      2702     1  0 09:56 ?        00:00:00 /usr/sbin/cupsd -f
lp        2705  2702  0 09:56 ?        00:00:00 /usr/lib/cups/notifier/dbus dbus:// 
kangkai   2722  2215  7 09:56 ?        00:01:47 /opt/google/chrome/chrome     
kangkai   2730  2722  0 09:56 ?        00:00:00 cat
kangkai   2731  2722  0 09:56 ?        00:00:00 cat
kangkai   2733  2722  0 09:56 ?        00:00:00 /opt/google/chrome/chrome-sandbox /opt/google/chrome/chrome --type=zygote
kangkai   2734  2733  0 09:56 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
kangkai   2740  2734  0 09:56 ?        00:00:00 /opt/google/chrome/chrome-sandbox /opt/google/chrome/nacl_helper
kangkai   2741  2740  0 09:56 ?        00:00:00 /opt/google/chrome/nacl_helper
kangkai   2743  2734  0 09:56 ?        00:00:00 /opt/google/chrome/chrome --type=zygote
kangkai   2764  2722  3 09:56 ?        00:00:50 /opt/google/chrome/chrome --type=gpu-process --channel=2722.0.1837866170 --supports-dual-gpus=false --gpu-driver-bug-workarounds=1,24,36,39 --disable-accelerated-video-decode --gpu-vendor-id=0x1002 --gpu-device-id=0x68e4 --gpu-driver-vendor --gpu-driver-version
kangkai   2770  2764  0 09:56 ?        00:00:00 /opt/google/chrome/chrome --type=gpu-broker                                                                                                                                                                                                               
kangkai   2843  2317  0 09:56 ?        00:00:00 telepathy-indicator
kangkai   2850  2215  0 09:56 ?        00:00:00 /usr/lib/telepathy/mission-control-5
root      2882     2  0 09:56 ?        00:00:00 [scsi_eh_7]
root      2883     2  0 09:56 ?        00:00:00 [usb-storage]
kangkai   2885  2317  0 09:56 ?        00:00:00 zeitgeist-datahub
kangkai   2890  2215  0 09:56 ?        00:00:00 /usr/bin/zeitgeist-daemon
kangkai   2896  2215  0 09:56 ?        00:00:00 /usr/lib/i386-linux-gnu/zeitgeist-fts
kangkai   2909  2896  0 09:56 ?        00:00:00 /bin/cat
kangkai   2921  2743 24 09:56 ?        00:05:42 /opt/google/chrome/chrome --type=renderer --enable-deferred-image-decoding --lang=zh-CN --force-fieldtrials=ChromeSuggestions/Default/DomRel-Enable/enable/EnableSessionCrashedBubbleUI/Disabled/ExtensionContentVerification/Enforce/ExtensionInstallVerification/None/MaterialDesignNTP/Enabled/NewProfileManagement/NewAvatarMenu/PasswordGeneration/Disabled/RememberCertificateErrorDecisions/Default/SafeBrowsingIncidentReportingService/Default/SettingsEnforcement/no_enforcement/UMA-Dynamic-Binary-Uniformity-Trial/default/UMA-Population-Restrict/normal/UMA-Uniformity-Trial-1-Percent/group_42/UMA-Uniformity-Trial-10-Percent/group_05/UMA-Uniformity-Trial-100-Percent/group_01/UMA-Uniformity-Trial-20-Percent/group_03/UMA-Uniformity-Trial-5-Percent/group_03/UMA-Uniformity-Trial-50-Percent/group_01/VoiceTrigger/Install/WebRTC-IPv6Default/Disabled/ --enable-offline-auto-reload --enable-offline-auto-reload-visible-only --enable-delegated-renderer --enable-impl-side-painting --num-raster-threads=1 --disable-accelerated-video-decode --channel=2722.2.901160942
kangkai   2957  2743  7 09:56 ?        00:01:41 /opt/google/chrome/chrome --type=ppapi --channel=2722.4.2047130525 --ppapi-flash-args --lang=zh-CN
kangkai   2994  2317  0 09:56 ?        00:00:00 update-notifier
kangkai   3043  2317  0 09:57 ?        00:00:00 /usr/lib/i386-linux-gnu/deja-dup/deja-dup-monitor
kangkai   3255  2215  0 10:05 ?        00:00:02 /usr/lib/i386-linux-gnu/unity-scope-home/unity-scope-home
kangkai   3270  2215  0 10:05 ?        00:00:01 /usr/bin/unity-scope-loader applications/applications.scope applications/scopes.scope commands.scope
kangkai   3272  2215  0 10:05 ?        00:00:00 /usr/lib/i386-linux-gnu/unity-lens-files/unity-files-daemon
kangkai   3298  2215  0 10:05 ?        00:00:00 /usr/lib/unity-musicbaidu-daemon
kangkai   3303  2215  0 10:05 ?        00:00:01 /usr/lib/gvfs/gvfsd-http --spawner :1.6 /org/gtk/gvfs/exec_spaw/2
root      3337     2  0 10:05 ?        00:00:00 [kworker/u16:1]
root      3572     1  0 10:07 ?        00:00:00 python3 /usr/lib/software-properties/software-properties-dbus
kangkai   3585  2215  0 10:07 ?        00:00:00 /usr/lib/gvfs/gvfsd-metadata
root      4129     2  0 10:10 ?        00:00:00 [kworker/u16:0]
kangkai   4142  2215  0 10:11 ?        00:00:02 gnome-terminal
kangkai   4149  4142  0 10:11 ?        00:00:00 gnome-pty-helper
kangkai   4150  4142  0 10:11 pts/0    00:00:00 bash
kangkai   4265  2215  0 10:11 ?        00:00:01 /usr/bin/python3 /usr/share/oneconf/oneconf-service
root      4431     2  0 10:18 ?        00:00:00 [kworker/u16:2]
kangkai   4485  4150  0 10:19 pts/0    00:00:00 ps -ef
